date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
07/01/20,29.7,25,36.6,,,,1.1,,1011.6,
14/01/20,28.4,26.2,33.8,,,,2.1,,1010.7,
21/01/20,29,26.6,34,,,,2.1,,1014.1,
28/01/20,28.5,23.5,32.5,,,,2.3,,1010.2,
07/02/20,29.1,26.2,38.1,,,,1.7,,1012.8,
14/02/20,29.3,27.1,33.4,,,199,3.9,,1009.8,
21/02/20,29.3,23.9,35.2,,,,2.9,,1015.6,
28/02/20,28.3,25.6,34.2,0,,162,3.4,,1010.3,
07/03/20,29.7,25.7,34.8,,,,2.4,,1012,
14/03/20,29.9,28,35.2,,,,2.4,,1009.9,
21/03/20,30.3,27.8,34.5,,,,2.8,,1011.2,
28/03/20,30.8,28.2,36,,,172,3.8,,1008.6,
07/04/20,30.8,28.7,35.3,,,,4.3,,1009,
14/04/20,29.7,25.5,34.5,3.8,,,2,,1011.2,
21/04/20,32,29.1,36.5,,,,2.5,,1009,
28/04/20,30.8,25.9,34.5,,,,1.9,,1011,
07/05/20,32.3,29.7,36.8,,,,3.6,,1007,
14/05/20,32.7,29.7,38.8,,,,2.7,,1008,
21/05/20,32.3,29,37.6,,,,2.1,,1007,
28/05/20,31.4,28.6,39,,,,3,,1008.6,
07/06/20,29.9,27.8,33,2.3,,,2.4,,1007.2,
14/06/20,31,29,35.8,11.7,,,2.4,,1005.1,
21/06/20,31.8,28.8,36.8,1.3,,,2.5,,1005.8,
28/06/20,30,26.4,34.6,,,,1.8,,1006.5,
07/07/20,29.5,27.4,35.2,2.5,,,1.2,,1007,
14/07/20,29.1,24.8,33,3,,,1.1,,1007,
21/07/20,28.8,27,33.6,4.8,,,1.5,,1007.5,
28/07/20,29.8,25.2,34.5,26.2,,,0.9,,1006.9,
07/08/20,27.9,26.5,31,2.5,,,1.1,,1006.2,
14/08/20,26.6,24.5,32,23.6,,,1.8,,1008.2,
21/08/20,29.2,27,34.2,1.8,,,2.3,,1008.3,
28/08/20,28.7,24.5,35.8,16,,,1.8,,1004.9,
07/09/20,30.1,26.5,34.5,3.6,,,1.3,,1007.2,
14/09/20,29.1,27.3,33.2,18.3,,,1.1,,1008.2,
21/09/20,29.2,25.9,32.5,1,,,1.4,,1008.7,
28/09/20,27.3,24.7,31,23.6,,338,2.1,,1005.7,
07/10/20,29.8,25.1,34,,,,1.8,,1007,
14/10/20,27.8,24,31.5,0,,,2.6,,1006.5,
21/10/20,26.9,23.7,30.4,,,,1.5,,1009.8,
28/10/20,28.3,25.5,31.4,,,,1.8,,1007.8,
07/11/20,27.1,25.1,31.5,1.5,,,2.1,,1012.3,
14/11/20,27.9,23.4,32.4,,,,1.3,,1010.8,
21/11/20,27.1,26,32.8,17.5,,,1.1,,1009.1,
28/11/20,29.3,25.1,33,,,,2.6,,1012.6,
07/12/20,27.3,22,31.5,,,,2.1,,1013.4,
14/12/20,28.2,25.7,32.7,,,,1.1,,1009.2,
21/12/20,23.6,20.1,28,,,,2.7,,1013.8,
28/12/20,29.4,25.9,34.5,,,,1.4,,1009.2,