date,Bangkok travel: (United States)
07/01/20,80
14/01/20,44
21/01/20,60
28/01/20,37
07/02/20,41
14/02/20,44
21/02/20,41
28/02/20,27
07/03/20,49
14/03/20,37
21/03/20,39
28/03/20,45
07/04/20,59
14/04/20,51
21/04/20,41
28/04/20,48
07/05/20,64
14/05/20,66
21/05/20,36
28/05/20,48
07/06/20,40
14/06/20,28
21/06/20,56
28/06/20,56
07/07/20,53
14/07/20,28
21/07/20,50
28/07/20,41
07/08/20,65
14/08/20,61
21/08/20,44
28/08/20,45
07/09/20,29
14/09/20,29
21/09/20,39
28/09/20,50
07/10/20,35
14/10/20,54
21/10/20,41
28/10/20,49
07/11/20,51
14/11/20,43
21/11/20,47
28/11/20,48
07/12/20,47
14/12/20,47
21/12/20,46
28/12/20,50